Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1470196800.0,2016-08-03 04:00:00,2,BTCUSD,545.99,602.15,537.92,590.0,1492.519663,0.07752187634089716
1470110400.0,2016-08-02 04:00:00,1,BTCUSD,603.64,608.01,456.36,545.99,3861.19815,-0.10037733319148161
1470024000.0,2016-08-01 04:00:00,0,BTCUSD,619.85,626.23,603.0,603.64,1450.480965,-0.026499519533806224
1469937600.0,2016-07-31 04:00:00,6,BTCUSD,637.4,638.41,616.45,619.85,704.6689923,-0.027919888699080103
1469851200.0,2016-07-30 04:00:00,5,BTCUSD,657.98,657.99,636.33,637.4,284.8768218,-0.03177713374336155
1469764800.0,2016-07-29 04:00:00,4,BTCUSD,657.41,657.99,655.87,657.98,1026.022574,0.00086666317316924
1469678400.0,2016-07-28 04:00:00,3,BTCUSD,657.99,659.24,654.63,657.41,598.1799362,-0.0008818610880155618
1469592000.0,2016-07-27 04:00:00,2,BTCUSD,652.72,659.68,652.72,657.99,712.2444566,0.008041486520899196
1469505600.0,2016-07-26 04:00:00,1,BTCUSD,656.72,659.1,646.27,652.72,1279.201338,-0.006109500919465914
1469419200.0,2016-07-25 04:00:00,0,BTCUSD,662.1,662.11,652.74,656.72,795.4819733,-0.00815885389078973
1469332800.0,2016-07-24 04:00:00,6,BTCUSD,655.47,665.08,652.7,662.1,409.843938,0.010064066364757334
1469246400.0,2016-07-23 04:00:00,5,BTCUSD,652.85,656.85,651.78,655.47,280.31408,0.004005141711995577
1469160000.0,2016-07-22 04:00:00,4,BTCUSD,665.99,666.99,644.08,652.85,851.5723072,-0.01992726155860003
1469073600.0,2016-07-21 04:00:00,3,BTCUSD,660.02,667.31,660.02,665.99,690.5465544,0.00900451782100107
1468987200.0,2016-07-20 04:00:00,2,BTCUSD,672.99,673.52,660.02,660.02,2146.625002,-0.019460333101677076
1468900800.0,2016-07-19 04:00:00,1,BTCUSD,673.42,674.43,667.67,672.99,717.7399625,-0.0006387356223131591
1468814400.0,2016-07-18 04:00:00,0,BTCUSD,682.02,682.02,667.49,673.42,862.8555598,-0.012689776611037127
1468728000.0,2016-07-17 04:00:00,6,BTCUSD,666.54,687.56,665.15,682.02,1369.747327,0.022958830104988174
1468641600.0,2016-07-16 04:00:00,5,BTCUSD,667.74,668.72,660.0,666.54,270.0756668,-0.0017987233917028285
1468555200.0,2016-07-15 04:00:00,4,BTCUSD,663.99,669.01,661.62,667.74,764.3558753,0.005631787091325325
1468468800.0,2016-07-14 04:00:00,3,BTCUSD,652.38,663.99,650.67,663.99,1406.142762,0.0176398748843504
1468382400.0,2016-07-13 04:00:00,2,BTCUSD,664.73,668.58,652.37,652.38,1523.483268,-0.018753728934124664
1468296000.0,2016-07-12 04:00:00,1,BTCUSD,650.03,674.83,647.73,664.73,1880.164315,0.022362427501057214
1468209600.0,2016-07-11 04:00:00,0,BTCUSD,656.67,658.33,645.0,650.03,936.6272562,-0.010163093522392284
1468123200.0,2016-07-10 04:00:00,6,BTCUSD,650.27,658.99,640.4,656.67,442.5077722,0.009793947936411519
1468036800.0,2016-07-09 04:00:00,5,BTCUSD,656.81,661.99,625.33,650.27,1388.36628,-0.01000712210051014
1467950400.0,2016-07-08 04:00:00,4,BTCUSD,641.78,662.71,640.3,656.81,906.3381103,0.023149217522945416
1467864000.0,2016-07-07 04:00:00,3,BTCUSD,673.12,673.12,611.35,641.78,2060.510779,-0.04767805400788468
